2015-09-02	1441250099.22	20:14:59	2386.07
2015-09-02	1441250160.69	20:16:00	1515.21
2015-09-02	1441250222.19	20:17:02	933.07
2015-09-02	1441250284.93	20:18:04	1771.36
2015-09-02	1441250346.34	20:19:06	2557.53
2015-09-02	1441250406.46	20:20:06	4092.04
2015-09-02	1441250436.99	20:20:36	1342.06
2015-09-02	1441250498.36	20:21:38	301.01
2015-09-02	1441250558.86	20:22:38	718.33
2015-09-02	1441250620.53	20:23:40	618
2015-09-02	1441250682.40	20:24:42	294.09
2015-09-02	1441250744.65	20:25:44	942.19
2015-09-02	1441250807.18	20:26:47	1401.63
2015-09-02	1441250868.61	20:27:48	891.11
2015-09-02	1441250930.20	20:28:50	1101.37
2015-09-02	1441250991.64	20:29:51	1708.72
2015-09-02	1441251054.19	20:30:54	1111.15
2015-09-02	1441251116.24	20:31:56	1170.75
2015-09-02	1441251177.72	20:32:57	1137.16
2015-09-02	1441251237.76	20:33:57	1274.86
2015-09-02	1441251299.51	20:34:59	1969.84
2015-09-02	1441251361.01	20:36:01	1179.05
2015-09-02	1441251422.34	20:37:02	1023.81
2015-09-02	1441251482.55	20:38:02	2355.83
2015-09-02	1441251545.05	20:39:05	3769.86
2015-09-02	1441251606.83	20:40:06	2979.56
2015-09-02	1441251637.72	20:40:37	1772.22
2015-09-02	1441251699.05	20:41:39	399.91
2015-09-02	1441251759.68	20:42:39	366.67
2015-09-02	1441251821.19	20:43:41	86.86
2015-09-02	1441251883.03	20:44:43	529.46
2015-09-02	1441251944.68	20:45:44	1104.04
2015-09-02	1441252007.19	20:46:47	1137.15
2015-09-02	1441252068.70	20:47:48	1014.16
2015-09-02	1441252130.07	20:48:50	835.32
2015-09-02	1441252190.69	20:49:50	2047.67
2015-09-02	1441252252.38	20:50:52	890.79
2015-09-02	1441252313.79	20:51:53	1286.03
2015-09-02	1441252374.71	20:52:54	1425.8
2015-09-02	1441252436.22	20:53:56	1004.09
2015-09-02	1441252496.62	20:54:56	2000.63
2015-09-02	1441252558.65	20:55:58	1147.5
2015-09-02	1441252620.77	20:57:00	1366.06
2015-09-02	1441252682.07	20:58:02	1040.12
2015-09-02	1441252742.36	20:59:02	1998.66
2015-09-02	1441252773.82	20:59:33	2586.74
2015-09-02	1441252865.01	21:01:05	2211.56
2015-09-02	1441252926.53	21:02:06	2413.61
2015-09-02	1441252956.93	21:02:36	1432.01
2015-09-02	1441253018.36	21:03:38	296.27
2015-09-02	1441253080.94	21:04:40	527.34
2015-09-02	1441253142.74	21:05:42	786.35
2015-09-02	1441253204.59	21:06:44	1059.55
2015-09-02	1441253264.88	21:07:44	958.24
2015-09-02	1441253327.19	21:08:47	1358.04
2015-09-02	1441253633.22	21:13:53	1793.23
2015-09-02	1441253695.18	21:14:55	1764.27
2015-09-02	1441253757.75	21:15:57	1041.72
2015-09-02	1441253819.26	21:16:59	807.43
2015-09-02	1441253880.77	21:18:00	1468.18
2015-09-02	1441253941.91	21:19:01	1006.42
2015-09-02	1441254003.00	21:20:02	2160.98
2015-09-02	1441254033.58	21:20:33	2540.7
2015-09-02	1441254124.94	21:22:04	1564.75
2015-09-02	1441254186.47	21:23:06	2663
2015-09-02	1441254217.38	21:23:37	973.93
2015-09-02	1441254279.22	21:24:39	606.81
2015-09-02	1441254341.24	21:25:41	686.03
2015-09-02	1441254401.70	21:26:41	147.37
2015-09-02	1441254464.55	21:27:44	950.08
2015-09-02	1441254527.10	21:28:47	819.31
2015-09-02	1441254587.92	21:29:47	1159.01
2015-09-02	1441254650.21	21:30:50	1178.48
2015-09-02	1441254711.72	21:31:51	1063.12
2015-09-02	1441254774.73	21:32:54	951.07
2015-09-02	1441254836.24	21:33:56	1105.31
2015-09-02	1441254898.24	21:34:58	1594.23
2015-09-02	1441254959.07	21:35:59	1510.57
2015-09-02	1441255019.75	21:36:59	1274.07
